week,tv_spend,google_spend,instagram_spend,sales
2022-09-19,35555.266725259375,18545.16468913769,13844.0607309468,509119.8080759766
2022-09-26,35329.58442879738,20395.97444765761,3975.303405300284,483244.50636641926
2022-10-03,5642.995870297829,24254.252526441447,2601.257668095161,446856.88262485666
2022-10-10,11493.061941085458,23405.26593424088,8714.74437759646,465110.50910599297
2022-10-17,8755.82934710223,38840.7650364056,17154.292152242044,509949.2738961929
2022-10-24,36358.713125637965,28773.949590249813,12119.673945653658,529846.1260630067
2022-10-31,48398.39920285595,31024.71745569092,4273.989053737681,502020.8875558933
2022-11-07,20688.7272105648,68109.06204275515,1157.421595356351,475828.90577834647
2022-11-14,16929.44564204186,38955.79025162864,4516.334131179183,474067.5402966665
2022-11-21,40604.689325238345,21934.23664282311,4795.224585148211,484355.25779788
2022-11-28,2715.168256817379,23863.045672531236,4193.046607414221,454089.50771215477
2022-12-05,22843.310629122112,28633.85786103324,15264.06149173539,518182.6481084048
2022-12-12,22794.05520442398,13885.914985814747,2556.530389641484,441837.22132372827
2022-12-19,63881.238716027445,62800.623292471144,16932.38191599834,551111.9262518744
2022-12-26,78885.92131601469,13359.531046064152,11539.008325278366,510193.8473288875
2023-01-02,43201.04248441166,826.5501612323109,3315.6929871566067,361813.55256038904
2023-01-09,71807.28219398943,7573.4532938188295,21528.285079478923,447748.51134335925
2023-01-16,6229.231915453813,10908.352716771948,11686.252465681688,455188.1468210419
2023-01-23,26376.21957407919,16685.1487289672,23335.719026949202,500189.03781110566
2023-01-30,7874.590321530868,19411.22323223947,12736.975452494524,497931.9122877901
2023-02-06,30845.713653075476,14188.622959952696,5078.552919827184,474760.0698663351
2023-02-13,45325.49883388159,35375.832828600694,10478.494164144284,516990.0886136052
2023-02-20,12137.579057482846,14820.071001702525,8199.14094231764,456321.21601701604
2023-02-27,27341.55860877334,29308.47064249445,7095.136113215897,493735.525203721
2023-03-06,44632.683487533315,33823.458657121715,19919.768415392624,552337.7562844796
2023-03-13,25408.94743855436,25854.629173356963,7521.176033070491,521848.21174436994
2023-03-20,16560.34232096923,62005.20005467816,18267.0836400452,551514.8263641474
2023-03-27,58964.81930115064,21173.741785398484,3779.7405210548022,502744.552359121
2023-04-03,66199.15166845235,19469.275706816454,11293.081588611572,503112.38937013183
2023-04-10,21053.731654143583,24696.253448009833,5470.660313101225,504801.7573503591
2023-04-17,22872.770275275732,24510.680664275347,2045.327375469543,465998.1892053594
2023-04-24,6449.536179121809,13256.764164830509,7030.075772755295,447109.06693805975
2023-05-01,45557.8936932943,19311.377012580946,8214.401871197542,495246.58072466834
2023-05-08,19816.418150721285,25833.13537121665,4052.897793633623,480389.0626139903
2023-05-15,22952.459010016242,27023.36156256361,9865.154041163018,506729.76556225674
2023-05-22,25244.644494638742,21655.13757705762,11978.951634058863,513191.9639255325
2023-05-29,94172.98795318422,12796.957558588581,31966.76163392528,519073.64642303594
2023-06-05,12386.84416993929,3877.663734924916,5379.450047265793,418445.5451567136
2023-06-12,32219.23891253026,56428.52049401535,3775.320841760743,519884.936549092
2023-06-19,35787.12143404177,8316.384971822396,26626.948441501045,524258.42382319627
2023-06-26,55501.19716515828,15772.311314391027,20483.463955391584,509856.84163895104
2023-07-03,22846.895659668102,41934.056277341995,8367.22711746175,541419.5795430487
2023-07-10,25920.855790166916,15977.318504270312,13035.042707382814,510321.95704433846
2023-07-17,27402.619208494645,28784.36291390828,1835.2686924648626,478254.8419992406
2023-07-24,58801.961108917734,48690.87231192532,9102.53294415584,522122.5484044228
2023-07-31,89905.59962857337,53462.955873228006,13231.95920766498,553121.6843666132
2023-08-07,61972.41948054388,38363.039476081554,1355.6485045184652,503648.4303892564
2023-08-14,20137.444784189196,32147.276807910734,23886.286491892723,553399.48813758
2023-08-21,6666.658774715288,5921.038566595294,7979.8924712844855,459428.4519547473
2023-08-28,2532.94268093856,20190.125265872095,10930.77258485468,469387.79029076756
2023-09-04,10858.886932844869,20524.928807039545,16144.238381081934,476875.2361897023
2023-09-11,16073.311155016281,12561.240585763744,7661.371952703569,425995.55756829155
2023-09-18,9833.800556091886,58670.20591431242,8563.037402823078,473817.43034356
2023-09-25,13750.52260925103,24252.632630339212,7629.084904025063,461776.3585161268
2023-10-02,20960.43690291836,15126.289785053496,5141.667049576199,449043.0244891982
2023-10-09,5640.527831132326,44635.72764596137,12636.514551757828,459368.59312454413
2023-10-16,31524.6923501847,19705.479562694072,3561.9593783043597,481958.33071947814
2023-10-23,13027.465979726267,7625.233880840022,4817.710696973168,396559.8884647659
2023-10-30,9360.215305786487,51835.94214166275,15418.075012928857,494139.95809858886
2023-11-06,26528.359403527087,11943.798791989893,3270.99441755426,451666.64685463806
2023-11-13,21492.2839542369,35864.49905092299,2173.2009749824156,459150.25782383385
2023-11-20,37563.30578964069,13912.292848507996,5567.856985331054,459335.2164497106
2023-11-27,25951.438186396488,12215.017560416472,6884.133598229399,458578.0372784625
2023-12-04,11221.776588634457,14650.71742326214,14222.219011956933,457691.3384192586
2023-12-11,36413.97947125819,32731.93929128304,4746.165790161137,502208.4733834641
2023-12-18,50972.56513735582,6352.688484308355,8647.589880975882,454963.4843344708
2023-12-25,53348.4327434114,6156.797339822679,4794.171832010452,395425.10973645886
2024-01-01,25929.15031832721,37364.712114389185,5136.645968069781,494150.7580221077
2024-01-08,36727.071597195754,46251.12091035345,12640.904195795807,534003.7862230623
2024-01-15,21270.57782891265,26558.570398577023,5011.017201482563,503926.8001877628
2024-01-22,26714.572365679796,19363.517615233864,10708.027905200894,489302.91832538764
2024-01-29,17842.181947992867,26912.483743440192,5900.567709087686,499018.0488106315
2024-02-05,45948.023590927325,17351.33567203805,886.1144537025676,438974.3441997998
2024-02-12,10118.827073633383,21574.855796358537,24514.599643801645,515383.4630478652
2024-02-19,44746.46777657254,3523.3364719424117,1969.11191053562,401774.7682912893
2024-02-26,54333.44259948695,30713.701837596378,33263.41400295711,542137.4740460328
2024-03-04,17117.864209272728,12045.606279885484,8803.880196970318,493749.0324478415
2024-03-11,16844.088666374766,37960.99064028105,5455.689710656146,491877.95278667257
2024-03-18,27174.95771039352,10931.298930398827,14236.94963722143,494448.1478570767
2024-03-25,14926.712576833826,27203.055631285522,27266.87444784496,530104.0589099914
2024-04-01,5336.1816989799945,47453.511087150066,10274.308252072433,483562.4463344359
2024-04-08,12048.896904057794,22794.611072463602,13950.868959849426,475463.02776783006
2024-04-15,17015.703222001266,28104.33839640558,23427.786725225524,490264.8972192837
2024-04-22,16349.5652489623,10840.860083398205,7547.467349284879,447900.1319585811
2024-04-29,26094.70908040972,39058.16769211238,7354.441688345086,507761.96066577657
2024-05-06,17611.14561732919,10654.758639116082,1565.4561205171444,424594.2187778736
2024-05-13,7416.306342059076,8492.984080343329,6767.481848786711,384191.2029098462
2024-05-20,5727.4382146008975,20631.86027932634,26872.72059365297,454901.7883679378
2024-05-27,53776.86057071257,18009.861758659525,38425.72987023946,521032.20811301237
2024-06-03,26164.38352458891,24027.145584847545,7435.7925503829,513274.0957006663
2024-06-10,24371.0844126134,14992.438563031095,6793.440249338628,483323.40116126253
2024-06-17,66898.67177777455,42103.793941532684,835.9972201580347,487757.1088171722
2024-06-24,6449.160122929129,12699.925373546692,15949.774588774568,490065.98806294485
2024-07-01,58592.546080777116,32218.242294249052,2963.477928749155,514338.6943225787
2024-07-08,16156.216505955746,28386.394091030485,6876.309009682845,507710.88837136136
2024-07-15,18421.418715955282,16956.61483932647,18280.36406448466,506220.2707232858
2024-07-22,38333.98406320991,17539.57121451789,10620.76002416746,498107.01458182296
2024-07-29,7755.976215318471,15207.231342464176,17104.277236987215,480469.51804459305
2024-08-05,5348.327740500334,30269.92372584681,824.153031375746,441694.49772909615
2024-08-12,74342.58227555218,14977.012915505811,11184.382988080508,496981.95219602133
2024-08-19,27277.890065411044,23357.725050469784,10482.271493622426,521135.3944271403
2024-08-26,4353.727177506828,23644.268514274518,7201.249109494127,485656.9091880082
2024-09-02,15936.63001089924,12695.414042548224,9662.512134919232,462120.09264495154
2024-09-09,10436.948738212885,37800.37769103804,11771.325318275492,490184.18362741824
2024-09-16,30292.972890174122,36918.48943393197,1203.7129612269919,473934.568024154
2024-09-23,7506.108616755269,28835.760842486146,4471.685577756473,444073.3849706396
2024-09-30,14929.370775632104,7728.288905467307,3488.0031049582763,387348.5177753223
2024-10-07,51457.85476226161,28448.761447198638,9584.291856860622,511694.8481133903
2024-10-14,15427.53336469765,22967.289483955272,18170.989551983283,521696.1746673442
2024-10-21,13705.710307910796,20879.502354385317,25786.536444407247,514874.4710706578
2024-10-28,41362.68328725727,14796.661117687658,13025.999053828644,495853.39718007814
2024-11-04,5254.705411928718,20375.63849024529,13016.108895684098,493793.34763267427
2024-11-11,33108.90180723993,30345.468336848844,14958.508856873434,536278.9991175616
2024-11-18,34987.87888744136,27452.42140242574,9747.126914168099,526772.8802899421
2024-11-25,9365.160085969832,38261.28862166036,8080.604719246651,498467.38347087806
2024-12-02,40655.62807675966,36088.57260186659,5426.403272370375,506227.91280540393
2024-12-09,17494.65269586621,17543.863166168216,19351.46196772632,516533.39338438015
2024-12-16,15348.837166695856,46369.59552977684,9667.567856493331,511989.8486409273
2024-12-23,41223.84436441608,35193.688971108306,8875.83853994625,514502.89615067706
